net,radius,data_number,tool,defense success of apgd & apgdt
CNN_small,0.3,200,care,0.0
CNN_small,0.3,200,prdnn,0.0
CNN_small,0.3,200,reassure,0
CNN_small,0.3,200,aprnn,0.0
CNN_small,0.3,500,PatchRepair,0.9827
CNN_small,0.3,500,original,0.0
CNN_small,0.3,500,adv_training,0.0
CNN_small,0.3,500,art,0
CNN_small,0.3,500,care,0
CNN_small,0.3,500,prdnn,0
CNN_small,0.3,500,reassure,0
CNN_small,0.3,500,aprnn,0.0
CNN_small,0.3,1000,PatchRepair,0.9821
CNN_small,0.3,1000,original,0.0
CNN_small,0.3,1000,adv_training,0.0
CNN_small,0.3,1000,art,0
CNN_small,0.3,1000,care,0
CNN_small,0.3,1000,prdnn,0
CNN_small,0.3,1000,reassure,0
CNN_small,0.3,1000,aprnn,0.0
