net,radius,data_number,patch_format,drawdown,rs,gene,time
FNN_big,0.05,500,prdnn,0.01639999999999997,1.0,0.5482,1390.057190001011
FNN_big,0.05,1000,prdnn,0.019399999999999973,1.0,0.5463,4138.963314766996
FNN_big,0.1,50,prdnn,0.06699999999999995,1.0,0.526,88.23531418479979
FNN_big,0.1,100,prdnn,0.05620000000000003,1.0,0.475,173.65293512912467
FNN_big,0.1,200,prdnn,0.06120000000000003,1.0,0.4965,445.45184697117656
FNN_big,0.1,500,prdnn,0.07409999999999994,1.0,0.5062,1403.5641998988576
FNN_big,0.1,1000,prdnn,0.08340000000000003,1.0,0.511,4321.592856978998
FNN_big,0.3,50,prdnn,0.275,1.0,0.422,119.45003092568368
FNN_big,0.3,100,prdnn,0.3176,1.0,0.434,253.1238534920849
FNN_big,0.3,200,prdnn,0.2853,1.0,0.4075,630.4639221583493
FNN_big,0.3,500,prdnn,0.23860000000000003,1.0,0.3686,2117.7416542829014
FNN_big,0.3,1000,prdnn,0.23609999999999998,1.0,0.365,5480.271931280848
CNN_small,0.05,50,prdnn,0.008299999999999974,1.0,0.696,6.1833257442340255
CNN_small,0.05,100,prdnn,0.007400000000000073,1.0,0.745,5.128505717031658
CNN_small,0.05,200,prdnn,0.009500000000000064,1.0,0.798,18.96322164963931
CNN_small,0.05,500,prdnn,0.011700000000000044,1.0,0.8896,146.22363455127925
CNN_small,0.05,1000,prdnn,0.017800000000000038,1.0,0.9223,549.094460405875
CNN_small,0.1,50,prdnn,0.010099999999999998,1.0,0.53,45.60637692315504
CNN_small,0.1,100,prdnn,0.010299999999999976,1.0,0.691,9.807721860706806
CNN_small,0.1,200,prdnn,0.022199999999999998,1.0,0.7325,41.05836691102013
CNN_small,0.1,500,prdnn,0.017000000000000015,1.0,0.845,139.1762151871808
CNN_small,0.1,1000,prdnn,0.023600000000000065,1.0,0.9029,492.71883243508637
CNN_small,0.3,50,prdnn,0.43220000000000003,1.0,0.448,3.758421461097896
CNN_small,0.3,100,prdnn,0.3882,1.0,0.599,29.416615654714406
CNN_small,0.3,200,prdnn,0.36819999999999997,1.0,0.694,59.94476699503139
CNN_small,0.3,500,prdnn,0.48800000000000004,1.0,0.796,167.93645454430953
CNN_small,0.3,1000,prdnn,0.565,1.0,0.8585,423.7711988748051
FNN_small,0.05,50,reassure,0.0,1.0,0.108,381.3243131637573
FNN_small,0.05,100,reassure,0.0,1.0,0.091,762.4990003108978
FNN_small,0.05,200,reassure,0.0,1.0,0.085,1486.5722994804382
FNN_small,0.05,500,reassure,0.0,1.0,0.072,3812.3483390808105
FNN_small,0.05,1000,reassure,0,0,0,0
FNN_small,0.1,50,reassure,0.0,1.0,0.024,358.77236914634705
FNN_small,0.1,100,reassure,0.0,1.0,0.018,737.7399191856384
FNN_small,0.1,200,reassure,0.0,1.0,0.014,1403.833912372589
FNN_small,0.1,500,reassure,0.0,1.0,0.0144,3482.9487733840942
FNN_small,0.1,1000,reassure,0,0,0,0
FNN_small,0.3,50,reassure,0.0,1.0,0.008,328.3151378631592
FNN_small,0.3,100,reassure,0.0,1.0,0.004,670.3152189254761
FNN_small,0.3,200,reassure,0.0,1.0,0.0055,1306.1513876914978
FNN_small,0.3,500,reassure,0.0,1.0,0.0032,3248.1175549030304
FNN_small,0.3,1000,reassure,0,0,0,0
FNN_big,0.05,50,reassure,0.0,1.0,0.084,1807.56387758255
FNN_big,0.05,100,reassure,0.0,1.0,0.096,3673.6832842826843
FNN_big,0.05,200,reassure,0.0,1.0,0.0735,7399.129850149155
FNN_big,0.05,500,reassure,0,0,0,0
FNN_big,0.05,1000,reassure,0,0,0,0
FNN_big,0.1,50,reassure,0.0,1.0,0.034,1612.1262955665588
FNN_big,0.1,100,reassure,0.0,1.0,0.032,3337.161622285843
FNN_big,0.1,200,reassure,0.0,1.0,0.0245,6801.236750364304
FNN_big,0.1,500,reassure,0,0,0,0
FNN_big,0.1,1000,reassure,0,0,0,0
FNN_big,0.3,50,reassure,0.0,1.0,0.028,1280.9329252243042
FNN_big,0.3,100,reassure,0.0,1.0,0.014,2612.3463592529297
